@relation courses
@attribute voteCount NUMERIC
@attribute voteValue NUMERIC
@attribute simiCount NUMERIC
@attribute bookCount NUMERIC
@attribute bookExist NUMERIC
@attribute voteOrnot NUMERIC
@attribute freeOrnot NUMERIC
@data
104,4.06731,18,21,1,1,1
122,4.06557,10,0,0,1,1
124,4.06452,10,0,0,1,1
112,4.0625,10,0,0,1,1
48,4.0625,0,0,0,1,1
98,4.06122,9,0,0,1,1
33,4.06061,10,0,0,1,1
50,4.06,7,0,0,1,1
367,4.05995,10,0,0,1,1
35,4.05714,10,0,0,1,1
88,4.05682,10,0,0,1,1
107,4.05607,10,0,0,1,1
107,4.05607,3,24,1,1,1
99,4.05556,10,0,0,1,1
18,4.05556,0,0,0,1,0
18,4.05556,0,0,0,1,1
90,4.05556,10,0,0,1,1
90,4.05556,10,0,0,1,1
18,4.05556,10,0,0,1,0
18,4.05556,10,0,0,1,0
18,4.05556,10,0,0,1,0
18,4.05556,10,0,0,1,1
18,4.05556,10,0,0,1,1
18,4.05556,10,0,0,1,1
18,4.05556,6,23,1,1,1
18,4.05556,10,0,0,1,1
18,4.05556,10,0,0,1,1
18,4.05556,10,0,0,1,1
18,4.05556,10,0,0,1,1
18,4.05556,10,0,0,1,0
18,4.05556,10,0,0,1,1
18,4.05556,0,0,0,1,0
18,4.05556,0,0,0,1,0
18,4.05556,0,0,0,1,0
18,4.05556,9,0,0,1,1
18,4.05556,9,0,0,1,1
18,4.05556,10,0,0,1,1
18,4.05556,17,23,1,1,1
18,4.05556,0,0,0,1,1
18,4.05556,17,23,1,1,1
18,4.05556,10,0,0,1,1
18,4.05556,10,0,0,1,1
110,4.05455,9,0,0,1,1
37,4.05405,6,0,0,1,1
37,4.05405,0,0,0,1,1
19,4.05263,0,0,0,1,0
19,4.05263,0,0,0,1,0
19,4.05263,0,0,0,1,0
19,4.05263,0,0,0,1,0
19,4.05263,0,0,0,1,0
19,4.05263,0,0,0,1,1
19,4.05263,0,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,1
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,1
19,4.05263,10,0,0,1,1
19,4.05263,0,0,0,1,0
19,4.05263,10,0,0,1,1
19,4.05263,10,0,0,1,1
19,4.05263,0,0,0,1,0
19,4.05263,10,0,0,1,1
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,0
19,4.05263,10,0,0,1,1
19,4.05263,10,0,0,1,0
19,4.05263,9,0,0,1,1
19,4.05263,0,0,0,1,1
19,4.05263,10,0,0,1,1
58,4.05172,10,0,0,1,1
119,4.05042,10,0,0,1,1
180,4.05,10,0,0,1,1
290,4.05,2,24,1,1,1
20,4.05,6,0,0,1,1
80,4.05,10,0,0,1,1
30,4.05,10,0,0,1,1
20,4.05,10,0,0,1,1
20,4.05,10,0,0,1,0
20,4.05,0,0,0,1,0
20,4.05,10,0,0,1,1
20,4.05,10,0,0,1,0
20,4.05,10,0,0,1,1
20,4.05,10,0,0,1,1
20,4.05,14,22,1,1,1
20,4.05,10,0,0,1,0
20,4.05,10,0,0,1,0
20,4.05,10,0,0,1,0
20,4.05,0,0,0,1,0
20,4.05,9,0,0,1,1
20,4.05,0,0,0,1,1
20,4.05,10,0,0,1,1
20,4.05,8,19,1,1,1
102,4.04902,10,0,0,1,1
21,4.04762,0,0,0,1,1
84,4.04762,15,20,1,1,1
63,4.04762,10,0,0,1,1
42,4.04762,8,0,0,1,1
42,4.04762,10,0,0,1,1
21,4.04762,10,0,0,1,1
21,4.04762,10,0,0,1,1
21,4.04762,10,0,0,1,1
21,4.04762,0,0,0,1,1
21,4.04762,10,0,0,1,0
21,4.04762,10,0,0,1,0
21,4.04762,10,0,0,1,1
21,4.04762,10,0,0,1,0
21,4.04762,10,0,0,1,0
21,4.04762,10,0,0,1,0
21,4.04762,10,0,0,1,0
21,4.04762,0,0,0,1,0
21,4.04762,9,0,0,1,1
106,4.04717,10,0,0,1,1
109,4.04587,10,0,0,1,1
110,4.04545,10,0,0,1,1
88,4.04545,10,0,0,1,1
22,4.04545,10,0,0,1,1
22,4.04545,10,0,0,1,1
22,4.04545,10,0,0,1,1
22,4.04545,10,0,0,1,0
22,4.04545,0,0,0,1,0
22,4.04545,0,0,0,1,0
22,4.04545,10,0,0,1,0
22,4.04545,12,22,1,1,1
22,4.04545,10,0,0,1,1
91,4.04396,10,0,0,1,1
115,4.04348,10,0,0,1,1
46,4.04348,0,0,0,1,1
23,4.04348,10,0,0,1,1
23,4.04348,10,0,0,1,1
23,4.04348,0,0,0,1,0
23,4.04348,10,0,0,1,0
23,4.04348,10,0,0,1,1
23,4.04348,0,0,0,1,0
23,4.04348,0,0,0,1,1
23,4.04348,10,0,0,1,0
23,4.04348,10,0,0,1,1
117,4.04274,10,0,0,1,1
95,4.04211,12,0,0,1,1
48,4.04167,10,0,0,1,1
24,4.04167,10,0,0,1,0
24,4.04167,9,23,1,1,1
24,4.04167,10,0,0,1,1
97,4.04124,10,0,0,1,1
74,4.04054,0,0,0,1,1
100,4.04,10,0,0,1,1
100,4.04,10,0,0,1,1
101,4.0396,10,0,0,1,1
104,4.03846,10,0,0,1,1
52,4.03846,10,0,0,1,1
52,4.03846,7,0,0,1,1
105,4.0381,10,0,0,1,1
105,4.0381,13,0,0,1,1
109,4.0367,10,0,0,1,1
110,4.03636,10,0,0,1,1
110,4.03636,10,0,0,1,1
110,4.03636,10,0,0,1,1
28,4.03571,10,0,0,1,0
28,4.03571,9,0,0,1,0
115,4.03478,9,0,0,1,1
102,4.03431,10,0,0,1,1
118,4.0339,11,20,1,1,1
89,4.03371,10,0,0,1,1
119,4.03361,10,22,1,1,1
94,4.03191,10,0,0,1,1
95,4.03158,10,0,0,1,1
98,4.03061,10,0,0,1,1
66,4.0303,9,0,0,1,1
33,4.0303,10,0,0,1,1
100,4.03,10,0,0,1,1
105,4.02857,9,0,0,1,1
35,4.02857,9,0,0,1,1
106,4.0283,10,0,0,1,1
108,4.02778,10,0,0,1,1
36,4.02778,10,0,0,1,1
109,4.02752,10,0,0,1,1
110,4.02727,10,0,0,1,1
37,4.02703,10,0,0,1,1
115,4.02609,10,0,0,1,1
117,4.02564,10,0,0,1,1
118,4.02542,10,0,0,1,1
121,4.02479,10,0,0,1,1
82,4.02439,9,0,0,1,1
42,4.02381,7,0,0,1,1
42,4.02381,10,0,0,1,1
87,4.02299,11,21,1,1,1
90,4.02222,10,0,0,1,1
94,4.02128,9,0,0,1,1
96,4.02083,6,21,1,1,1
49,4.02041,5,0,0,1,1
100,4.02,10,0,0,1,1
104,4.01923,10,0,0,1,1
